Timestep,Reward
0,-1.548506465397554
1,-1.4769317678304918
2,-1.144836487056297
3,-0.7706564303177003
4,-0.4702591468282145
5,-0.2648338260556832
6,-0.1416442316270115
7,-0.07274651487586133
8,-0.03617955838268111
9,-0.017532400620537437
10,-0.008316708674427903
11,-0.06932524151212568
12,-0.284924837246944
13,-0.43329702670974435
14,-0.48472171889142035
15,-0.45973473762108497
16,-0.39969402505067836
17,-0.31928546246788486
18,-0.24289930533269455
19,-0.1695876701887206
20,-0.594040352722409
21,-0.17251112545781402
22,-0.18355688454718577
23,-0.18084225993325265
24,-0.20114457510240374
25,-0.19587495499317448
26,-0.1791578865205946
27,-0.13959455908289062
28,-0.09754931571488232
29,-0.06855662536695642
30,-0.8041073914520992
31,-0.22333207762187113
32,-0.07918342050499795
33,-0.14153853223382962
34,-0.14335796726296596
35,-0.032986989641491625
36,-0.029743209428326298
37,-0.013115346291396244
38,-0.024541277228489672
39,-0.032358551740629446
40,-0.5832083375261425
41,-0.1750345934070191
42,-0.2015703173552247
43,-0.20115065769978022
44,-0.19970187478361895
45,-0.1880291054271155
46,-0.16429164947136726
47,-0.1374485922104932
48,-0.10876739488476438
49,-0.07827788324758966
50,-0.8038977257165435
51,-1.0451443031117515
52,-0.8901441603332299
53,-0.25121202104216467
54,-0.6526908428064087
55,-1.0756655130792017
56,-1.2603747760885595
57,-1.0922641189763846
58,-0.911930928666336
59,-0.606006012824363
60,-1.1199233185717947
61,-1.353517253494827
62,-1.098550238133399
63,-0.8657559349863089
64,-0.4662153916756187
65,-0.13882457359282754
66,-0.17376524982625857
67,-0.3506427781307324
68,-0.4021030972551664
69,-0.41894851208124884
70,-0.1868086415140952
71,-0.2541660393374619
72,-0.2276676166785369
73,-0.16683247804249732
74,-0.10763029571246159
75,-0.06318575319024455
76,-0.03466831801114826
77,-0.018217297502004723
78,-0.009239293360024306
79,-0.004550620627638396
80,-0.002189816494095304
81,-0.24430633312028022
82,-0.2885680972488185
83,-0.384615120571001
84,-0.4874599708836522
85,-0.45615934622496546
86,-0.411428111841473
87,-0.32191486913846207
88,-0.25974883567968693
89,-0.18565888468265349
90,-0.6856928149425242
91,-0.08173473503099586
92,-0.12621771127267917
93,-0.20424197028847363
94,-0.18936800265876097
95,-0.15023726651125524
96,-0.1157902066135606
97,-0.08094265328283076
98,-0.052196600925879494
99,-0.031149113926003467
100,-0.6838251902742323
101,-0.17869715093471797
102,-0.07896429224790738
103,-0.1444493558523618
104,-0.12184398513475349
105,-0.06599852355114566
106,-0.03972048264048262
107,-0.027480829213526292
108,-0.024042434060611146
109,-0.025274974654106774
110,-0.6382028402909439
111,-0.4871100575097954
112,-0.11914066699962407
113,-0.1577599767950775
114,-0.22071612378897393
115,-0.20342400961804508
116,-0.11310268840205152
117,-0.05519795866904026
118,-0.03563292806676784
119,-0.026496350616471345
120,-0.5634786989804892
121,-0.10649506708047321
